,Reference,Value,Footprint,Note,Datasheet,Category,Description,Family,MPN,Manufacturer,Mouser_PN,Sim.Enable,Status,Qty
y,C11,.33uf,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,https://www.mouser.com/datasheet/2/281/1/GRM319R71H334JA01_01A-1987274.pdf,,50VDC 5% 1206 X7R C 3.32e-7 L 5.46e-10 R 1.19e-2,,,Murata,81-GRM319R71H334JA1D,,OKK,1
y,"C2, C6, C9",22uf,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,~,https://www.mouser.com/datasheet/2/281/1/GRM32ER71E226KE15_04CA-1988287.pdf,,25VDC 10% 1210 X7R C 1.54e-5 L 5.14e-10 R 2.74e-3,,,Murata,81-GRM32ER71E226KE5L,,OKK,3
y,"C3, C7, C10, C14, C18, C23, C27",10uf,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,~,https://www.mouser.com/datasheet/2/281/1/GRM32ER71J106KA12_04A-1988327.pdf,,"63VDC 10% 1210 X7R C 9.45e-6, L 4.29e-10, R 2.89e-3",,,Murata,81-GRM32ER71J106KA2L,,OKK,7
y,"C4, C15, C19, C24, C28",1uf,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,~,https://www.mouser.com/datasheet/2/281/1/GRM32RR71H105KA01_01A-1988300.pdf,,50VDC 10% 1210 X7R C 9.18e-7 L 4.18e-10 R 6.88e-3,,,Murata,81-GRM422X105K50K,,OKK,5
y,"C16, C20, C21, C25",1uf,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/KEM_T2005_T491-3316937.pdf,,3216-18 10% ESR=7Ohms,,,Kemet,80-T491A105K35AT7280,,OKK,4
y,"C13, C17, C22, C26",47uf,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,~,https://www.mouser.com/datasheet/2/447/KEM_T2076_T52X_530-3317002.pdf,,Tantalum Capacitors - Polymer 35V 47uF 2917 20% ESR=30mOhms,,,Kemet,80-T521X476M35ATE30,,OKK,4
,J3,Conn_02x02_Counter_Clockwise,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,~,~,,,,,,571-872272,,InStock,1
,D4,S18A,Diode_THT:D_DO-15_P12.70mm_Horizontal,~,https://www.mouser.com/datasheet/2/240/Littelfuse_TVS_Diode_SA_Datasheet_pdf-1317385.pdf,,TVS Unidirection,,,LittelFuse,576-SA18A,,OKK,1
,"D3, D8",1N5822,Diode_THT:D_DO-201AD_P12.70mm_Horizontal,~,https://www.vishay.com/doc?88526,,Schottky 40V 3A .95A,,,Vishay,625-1N5822-E3/73,,OKK,2
,"D6, D7",D_SB160,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,~,https://www.vishay.com/doc?88715,,Schottky 60V 1A .7V,,,Vishay,625-SB160-E3,,OKK,2
,D5,MUR120,Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal,~,https://www.mouser.com/datasheet/2/849/mur105-2578527.pdf,,Fast 200V 1A .875V,,,Diotec,637-MUR120,,OKK,1
,J1,TE_EP25_2,footprints:Conn_EP25_1744426-2,~,~,,~,,,~,571-1744426-2,,InStock,1
,J2,TE_EP25-6,footprints:Conn_EP25_1744426-6,~,~,,,,,,571-1744426-6,,InStock,1
x,"C5, C8, C12",120uf,footprints:CP_Elec_10x14.3_HandSolder,~,https://www.mouser.com/datasheet/2/315/Panasonic_9_21_2023_Capacitor_Hybrid_Anti_Vib__EEH-3316658.pdf,,AO-CAP 63VDC 120uf 12mOhms,,,Panasonic,667-EEH-ZU1J121UP,,OKK,3
x,C1,1500uf,footprints:CP_Elec_16x22_HandSolder,~,https://www.mouser.com/datasheet/2/315/ABA0000C1179-1274240.pdf,,35V D16 H17,,,Panasonic,667-EEE-FK1V152AV,,OKK,1
,T1,Q4338-BL,footprints:Q4338-BL,~,https://www.mouser.com/datasheet/2/597/lm258x-463436.pdf,,"Transformer 24->12,12,5",,,,994-Q4338-BL,,OKK,1
y,"D1, D2",LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,https://www.kingbrightusa.com/images/catalog/SPEC/APT2012LSECK-J3-PRV.pdf,,"RED, ORANGE, YELLOW, BLUE, GREEN",,,Kingbridge,"604-APT2012LSECKJ3RV, 604-APT2012LZGCK, 604-APT2012LVBCD, 604-APT2012LSECKJ4RV, 604-APT2012LSYCKJ3RV",,InStock,2
